artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,track_name_id
5,2023,5,22,182,8,54225632,3,88,1,0,52,110,0,1,0.96,0.72,0.32,0.0,0.09,0.04,126
1,2017,1,1,16596,13,2559529074,7,0,2094,0,0,95,1,0,0.17,0.45,0.16,0.0,0.11,0.02,127
1,2022,7,20,2335,23,681583126,82,55,50,0,9,132,1,0,0.2,0.55,0.45,0.01,0.32,0.03,128
1,2017,1,31,18986,23,2594040133,250,121,2969,10,31,125,0,1,0.74,0.78,0.04,0.0,0.23,0.11,129
2,2023,6,1,293,8,11956641,5,2,30,2,66,133,0,1,0.68,0.65,0.42,0.0,0.12,0.25,130
1,2002,1,1,21081,43,1687664027,98,76,3889,5,0,112,1,1,0.67,0.66,0.0,0.0,0.36,0.09,131
3,2023,7,13,437,31,11599388,17,29,26,3,208,97,1,1,0.92,0.89,0.05,0.0,0.06,0.05,132
2,2016,11,24,1275,32,611700552,13,8,5,0,1,90,0,0,0.52,0.48,0.38,0.05,0.1,0.11,133
1,2004,1,1,20015,16,1089402494,107,69,5239,0,558,172,1,0,0.33,0.59,0.06,0.0,0.08,0.03,134
1,2019,5,10,1507,14,411747614,24,71,44,1,195,120,1,0,0.24,0.35,0.73,0.0,0.31,0.03,135
1,2023,1,27,539,21,255932395,7,71,4,2,13,140,0,1,0.96,0.8,0.18,0.0,0.05,0.05,136
1,2023,6,30,86,8,31873544,7,76,3,1,93,128,0,1,0.9,0.77,0.01,0.0,0.09,0.05,137
1,2023,5,26,324,14,95053634,13,110,8,2,60,122,1,1,0.7,0.81,0.57,0.0,0.1,0.05,138
2,2010,1,1,17138,37,1279434863,119,81,974,1,503,130,1,0,0.86,0.92,0.08,0.0,0.05,0.24,139
2,2023,2,2,894,9,233801632,14,88,66,3,72,160,1,1,0.61,0.71,0.33,0.0,0.31,0.2,140
1,2012,12,5,1622,9,1481349984,0,0,356,0,0,144,1,1,0.87,0.7,0.06,0.0,0.28,0.05,141
3,2023,4,4,561,14,142095275,4,14,12,5,56,192,1,0,0.85,0.52,0.11,0.0,0.28,0.06,142
